Sample_ID	Collection_Site	Host_Habitat	Host_Species	Host_Species_Strain	Gender	Year_Collected	Sequencing_Depth
GM7	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2000	11544
GM9	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2000	10344
GM10	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2000	12459
GM11	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2000	14090
GM15	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2000	19442
GM20	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2000	10230
GM41	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2001	14178
GM1435	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	12806
GM1436	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2008	14023
GM1437	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2008	14462
GM1438	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	16650
GM1440	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	10740
GM1442	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	12980
GM1446	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2008	12858
GM1448	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	12274
GM1455	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	10823
GM1457	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	male	2008	13633
GM1459	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	12134
GM1467	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	13140
GM1468	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	11178
GM1474	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	9521
GM1476	Tanzania_Gombe	Gombe	chimpanzee	P.t.s.	female	2008	10342
