	DG408	DG426	DG432	EK520	LB01	LB03	LB06	LB10	LB13	LB178	LB179	BB231	BB232	ME2528	ME2530	MT334	MT348	WE457	WE458	WE464	CP469	CP470	BB089	BB095	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KE1474	KE1475	KE2263	KE2265	KE2268	KE2564	KE2565	KE2581	KSG1471	KSG1507	LU2555	LU2556	OP1909	OP1910	OP1911	OP2345	OP2346	OP2347	OP2456	OP2459	OP2460	GM173	GM7	GM9	GM10	GM11	GM15	GM20	GM41	GM1435	GM1436	GM1437	GM1438	GM1440	GM1442	GM1446	GM1448	GM1455	GM1457	GM1459	GM1467	GM1468	GM1474	GM1476	GM1480	GM1482	GM1485	GM1494	GM1496	GM1497	GM1500	GM1501	GM1502	GM1504	GM1507	GM1509
OTU_69	-3.48320901838334	-3.74482010981028	-3.02861423030082	-3.59069369859357	-3.42631616893721	-2.04710026666028	-2.70399306388633	-3.60181880171404	-4	-3.71250851976391	-4	-4	-1.80593364209294	-3.58052760777296	-3.38835313054328	-4	-4	-4	-4	-4	-4	-3.93104548118311	-3.80858721972337	-3.88478474256715	-4	-4	-4	-4	-4	-4	-3.51079604465963	-4	-3.76422404206653	-4	-4	-4	-4	-2.88311283876507	-4	-4	-4	-3.78755811886184	-3.66138875157031	-3.8017177962105	-3.58026484075512	-3.76363223066637	-4	-3.49939434775272	-3.40615528189718	-4	-4	-4	-4	-4	-4	-3.81977363042973	-3.70387975094136	-4	-4	-4	-4	-4	-4	-4	-3.75013519304609	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.47026814696778	-4	-4	-4	-4	-4	-4	-4	-4
OTU_86	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.95161305184089	-4	-3.63380088647093	-3.86564167612935	-4	-3.18441121482693	-2.95938928855222	-2.56370212548519	-2.69593601337251	-3.13312368680741	-3.0821661286549	-2.47545229485436	-3.07653496029567	-3.66020437362574	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-2.81546116048917	-3.72902997768198	-4	-4	-3.34212072152529	-4	-4	-3.50640892115567	-3.09539503564163	-3.76621369274628	-3.62288787910155	-3.46821432364292	-3.71419552931051	-3.31407203616383	-3.38606269481662	-3.58013332428242	-3.71580435932483	-4	-3.57703920125937	-4	-4	-4	-4	-3.07970315817064	-4	-4	-4	-4	-3.67282489396854	-3.43870072793462	-3.65915208159624	-3.66674057278761	-4	-3.31890083795178	-3.0517063736579
OTU_95	-4	-4	-4	-3.59069369859357	-4	-4	-4	-4	-4	-4	-3.70730078401437	-2.83826386643566	-4	-1.76486859737075	-1.88355907205449	-4	-4	-4	-4	-4	-4	-4	-3.08617441412944	-4	-4	-4	-4	-4	-4	-3.72478902814491	-3.18316038605563	-4	-4	-4	-3.77868268123756	-3.50603418863261	-4	-2.99096475764799	-4	-4	-4	-4	-4	-4	-3.58026484075512	-3.40968110148121	-3.74063067994333	-3.61181697716638	-3.21333161397565	-3.12965461482818	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_111	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.89553804363843	-3.52368791809183	-4	-4	-3.89383236620742	-3.59876075435506	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.79849677995009	-4	-3.74128318030346	-4	-3.57936437253311	-4	-4	-4	-2.9958257227572	-3.44384800849844	-3.10973506218787	-4	-3.22416664062941	-3.44711871832436	-4	-3.61786832657386	-4	-3.76621369274628	-4	-3.65734025886519	-3.54330041819981	-4	-2.65760495513631	-4	-3.71580435932483	-3.76107257974176	-3.57703920125937	-4	-4	-4	-3.10966189476143	-4	-4	-4	-3.02908504066484	-4	-3.67282489396854	-4	-4	-3.35045055253587	-4	-4	-4
OTU_262	-2.04483956478408	-2.94328527430163	-4	-3.59069369859357	-4	-4	-4	-4	-4	-2.79539622018242	-3.31443704412928	-2.83826386643566	-4	-3.37118729907667	-3.19339677173164	-4	-4	-4	-4	-4	-4	-4	-3.89383236620742	-4	-4	-4	-4	-4	-4	-1.49681066269201	-1.44675700341537	-2.430092148935	-1.86472629644844	-1.67923706173705	-2.22557570146022	-2.25115524448229	-2.45102085305296	-2.50156724273576	-3.05827894946463	-4	-4	-3.10015209642574	-3.403189396337	-3.56289816214362	-3.46306338816976	-3.4989432152109	-3.57936437253311	-4	-3.04364541596925	-2.60082399685252	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_267	-3.75391736716937	-3.74482010981028	-3.62092515967444	-4	-4	-4	-4	-4	-4	-3.07012572086669	-3.53402234594703	-2.58131840530888	-4	-3.74147351720018	-4	-4	-4	-4	-3.92764559840983	-4	-4	-4	-3.45687796273697	-4	-4	-4	-4	-4	-4	-4	-3.77086136698503	-3.09405266093942	-3.04911032347892	-3.13075735336749	-4	-3.34379889807764	-4	-4	-3.4931387296666	-4	-4	-3.452986464112	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_283	-3.75391736716937	-4	-4	-3.74881292987031	-3.18748755649542	-4	-4	-3.75678965935107	-4	-4	-4	-4	-3.05862900801436	-4	-4	-1.78065636816016	-4	-2.80182543447225	-2.59546171708966	-2.63943362185396	-4	-3.56531516975204	-3.14920095228549	-2.5161297325844	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.89966313926081	-2.59765221005331	-3.70625216470469	-2.60069014732365	-2.79848851650165	-1.89790435356471	-1.31612846507078	-2.0429897465231	-2.67155957967733	-2.67845962953316	-2.26565644635587	-3.79571702447975	-4	-3.59502404115585	-3.75013519304609	-3.17372350658522	-2.24843227677985	-3.04245702702419	-3.3668829430015	-2.50249812004556	-4	-4	-3.31267406811743	-2.35630524084952	-4	-1.96097837473391	-2.49454407389489	-3.35427378399043	-4	-2.88983249011039	-2.54642398254614	-3.66674057278761	-3.12755558613077	-2.5397766155092	-2.91173426490303
OTU_323	-4	-4	-4	-3.47502779101349	-2.45742749132827	-2.59493584349852	-2.5784829026356	-2.96822699857439	-2.65988253919163	-4	-4	-3.33693270368825	-2.46433422278844	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.50584658636857	-3.37326030850914	-4	-4	-3.47192383445086	-4	-4	-4	-4	-4	-3.77868268123756	-4	-3.50779825413715	-3.80254328936592	-4	-4	-4	-3.78755811886184	-3.55733754790089	-3.8017177962105	-3.17390408378246	-3.16834656689162	-3.36975108004449	-3.12493455448696	-3.60861973061045	-3.58423394326393	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_396	-4	-3.58515489332305	-4	-3.38377802281808	-4	-4	-4	-3.75678965935107	-3.58395465029537	-4	-4	-4	-4	-4	-3.59437363341889	-4	-4	-2.94424786170178	-3.55085463502322	-4	-4	-4	-3.89383236620742	-3.88478474256715	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.77868268123756	-3.76796632340466	-4	-4	-4	-4	-4	-4	-4	-4	-3.37086278789664	-4	-3.57936437253311	-3.61181697716638	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
OTU_471	-4	-4	-4	-4	-4	-4	-4	-3.48783835519866	-3.58395465029537	-4	-4	-4	-4	-4	-4	-4	-3.6001743324982	-4	-4	-4	-4	-4	-3.80858721972337	-3.79381505896552	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-3.57936437253311	-3.2729973513238	-4	-4	-2.93345070914287	-3.44384800849844	-3.10973506218787	-2.587008683	-3.50457089428303	-3.38869076954525	-4	-4	-4	-2.61025345530315	-3.06519158174509	-3.79571702447975	-3.71419552931051	-4	-3.31081286279644	-4	-3.07615181534207	-4	-3.03426667619712	-3.3931738151495	-3.33928079531792	-2.86634237631708	-3.40884710838844	-2.85962338450336	-3.51698006747648	-4	-4	-3.66937694461355	-2.95401604799023	-4	-4	-4	-4	-3.64471262565482	-4
